"name","review","clean_review","word_count","sentiment_score","sentiment_category"
"Call of Duty: Modern Warfare II","I really loved the game but itll take you a long time to learn all the tactics and things to become really good at the game!","i really loved the game but itll take you a long time to learn all the tactics and things to become really good at the game",26,2.30769230769231,"Positive"
"Call of Duty: Modern Warfare II","i cant join the game for some reason","i cant join the game for some reason",8,1.25,"Positive"
"Call of Duty: Modern Warfare II","these new games are just living in the MASSIVE shadow of black ops 3. to revive the franchise they must remaster the good games. they did it once with mwr. that remaster did amazingly. they now need to remaster  bo1, bo2, bo3 and bo4. mw19 is still too new to remaster but that was the very last good call of duty. oh, and the prices... theyre insane. charging £70 for mid at best multiplayer and zombies. the main aspects of these new games are the store. appauling. and theyre doing nothing about it... know why? i do! microsoft. money hungry pigs. dont care about anything else, as long as theyre making money. never again buying a call of duty, unless its an amazing remastered call of duty, with as little microtransactions as possible.","these new games are just living in the massive shadow of black ops to revive the franchise they must remaster the good games they did it once with mwr that remaster did amazingly they now need to remaster bo bo bo and bo mw is still too new to remaster but that was the very last good call of duty oh and the prices theyre insane charging for mid at best multiplayer and zombies the main aspects of these new games are the store appauling and theyre doing nothing about it know why i do microsoft money hungry pigs dont care about anything else as long as theyre making money never again buying a call of duty unless its an amazing remastered call of duty with as little microtransactions as possible",131,0.916030534351145,"Positive"
"Call of Duty: Modern Warfare II","Its fun of course you have cheaters but besides that its a game ment to be fun even though some people take it to serious","its fun of course you have cheaters but besides that its a game ment to be fun even though some people take it to serious",25,0.4,"Positive"
"Call of Duty: Modern Warfare II","I play this game as a casual player on PC. I have no mods or hack and I was shadow banned. I have two accounts. Both have been placed in limited matchmaking. Not spending any more money with Activision.","i play this game as a casual player on pc i have no mods or hack and i was shadow banned i have two accounts both have been placed in limited matchmaking not spending any more money with activision",39,-1.02564102564103,"Negative"
"Call of Duty: Modern Warfare II","shit game i downloaded 120 gb for nothing to be played for free","shit game i downloaded gb for nothing to be played for free",12,-2.5,"Negative"
"Call of Duty: Modern Warfare II","the gameplay is super fun but everything else is dogshit you need at least an hour to just configure your SETTINGS and as you probably know the community (in warzone specifically) is super toxic. in fact so many people reported me for being a noob that i got shadow-banned.","the gameplay is super fun but everything else is dogshit you need at least an hour to just configure your settings and as you probably know the community in warzone specifically is super toxic in fact so many people reported me for being a noob that i got shadow banned",50,0,"Neutral"
"Call of Duty: Modern Warfare II","Its very fun but makes your DAMN computer lag
","its very fun but makes your damn computer lag",9,1.11111111111111,"Positive"
"Call of Duty: Modern Warfare II","dont you dare click the download button
","dont you dare click the download button",7,0,"Neutral"
"Call of Duty: Modern Warfare II","i dont get why people hate bo6 or warzone so much ive been playing call of duty since bo2 and ive never hated a single game the only one i didnt really like was vanguard","i dont get why people hate bo or warzone so much ive been playing call of duty since bo and ive never hated a single game the only one i didnt really like was vanguard",35,-1.14285714285714,"Negative"
"Call of Duty: Modern Warfare II","The game is full of cheaters and trolls, yet Activision will ban you for being “toxic” while ignoring the real problems. Terrible experience.

Rating: 1/5 stars","the game is full of cheaters and trolls yet activision will ban you for being toxic while ignoring the real problems terrible experience rating stars",25,-5,"Negative"
"Call of Duty: Modern Warfare II","At some point an update made this game take up all of my CPU utilization and doesn't run anymore. Literally unplayable","at some point an update made this game take up all of my cpu utilization and doesn't run anymore literally unplayable",21,0,"Neutral"
